Battery_Name	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	Cycle_Life
MATR_b1c1	-4.199178959179121	-0.0037322737896168076	7.315160214046897e-06	-0.3169564817656039	-1.0385468962864224	-0.0015460165631537848	1.4966864563992295e-06	1.0812245790917332	-4.342060606055354e-05	1.0849413078787824	1.0766124	0.007977100000000181	1.0806502	2061.913380000001	34.712265	29.230637	10889695.15797141	0	0	0	0.0006349000000001048	-0.03621729004912	-0.6626999999716645	2.0307541	916.2474999999977	1144.996599999955	1.8710741874136432	3.3754499094098884	0.00032876464688213455	-0.0019778583494616253	10.58335244391506	0.58195202523355	4.796092856431589	2.209143925774975	2.2308884452858924	2.2308884452858924	2.2308884452858924	2.030671316788408	-1.463867080069752	-0.5538153812267544	0.9953787045092666	-1.544458231960069	7.626334957439396	0.36896659132444604	916.248428979575	1144.996616826532	0	0	0	799.7006999999867	1.0737983004456002	0	-11.73487054904766	0.0	1.0803982004456	1393841965.7201006	0.049064629999999464	11	0.0	2158
MATR_b1c11	-5.307737586509434	-0.00900341910027135	7.960282529228765e-05	-0.6055151015258434	-1.1836510200124981	0.0004280107481480222	1.7808947433515342e-05	1.059237634589981	-1.3944848484778464e-05	1.061324703030296	1.0550324	0.008206600000000064	1.0599171	1955.232699999999	37.128967	29.87781	11026513.213226542	0	0	0	0.0017009999999999525	0.002961598501520335	-0.0637999999744352	2.0333538	799.8172999999952	1155.0033999999869	2.210135110989792	3.395477860513644	0.000310920086111962	-0.0028688444954354866	12.992989101870958	0.5267117335523184	5.645471798637425	2.446824504228725	2.0202257881416625	2.0202257881416625	2.0202257881416625	1.9315974352438023	-1.613706829572077	-0.7844613660626273	1.4914162147340484	-1.2238917351854046	7.0154064598494354	0.4354792361145871	794.8185807843408	1155.0034165363618	0	0	0	0.0	0.50156944	0	-40.228921882897055	0.5501400883766	1.0589877186699999	3283702.7350709965	0.0014634199999998578	11	0.0	786
MATR_b1c14	-5.551853163440676	-0.011933677763037854	8.938427326584437e-05	-0.2634752841050489	-1.298233222446471	-0.002445412528578661	2.3101841682123278e-05	1.0749773515287566	-2.1086666666616433e-05	1.0782796066666613	1.0721085	0.005735299999999999	1.0761763	1902.05936	37.818813	29.769632	10954277.92804789	0	0	0	0.0007295999999998859	-0.006774063705925926	-0.23859999996057013	2.0304685	796.4876999999979	1105.0028999999631	2.2935831725391944	3.384961404078304	0.0003295194070765089	-0.0030132641232186734	13.43251905628404	0.5289972510080685	5.734031097447946	2.504289436736673	2.3491784754093468	2.3491784754093468	2.3491784754093468	2.0113355409698004	-1.4366630477469424	-0.6544313630085479	0.8703726954486934	-1.3989522556352325	43.01209020375526	0.6160004346055993	791.488904755094	1105.0029159992832	0	0	0	300.88709999999264	0.40837815999999993	0	-47.59179872812949	0.6600872449040001	1.074028676	2750787.7336697257	0	69	0.0	878
MATR_b1c15	-5.725384686807022	-0.010902425863143606	9.43696642470006e-05	-0.4664676562056214	-1.2281123797806603	-0.0010093189414339676	2.501990352504075e-05	1.066447045526283	-2.8676969696942343e-05	1.0705576006060578	1.0627433	0.00659540000000014	1.0676749	1902.0921199999998	38.47617	29.44138	10974323.399998648	0	0	0	0.000821100000000019	0.6354210642543396	-0.20179999998799758	2.035078	821.4997999999905	1080.0130000000354	2.2505425273188453	3.3925342615873015	0.00032411826985463026	-0.003039114425914429	13.252664066225961	0.4792861825249173	6.37984504278759	2.5784853931332643	2.298217320103474	2.298217320103474	2.298217320103474	1.893310582469173	-1.499955393372536	-0.7630491162123834	1.0894873626424344	-1.2694956234332495	11.183161590566458	0.49396441204788216	816.500465810872	1080.013015728247	0	0	0	300.8845999999903	0.3997614099999999	0	-67.9643536884747	0.6602212111870001	1.06635436391	2727737.2137877727	0.0014401699999997946	69	0.0	717
MATR_b1c16	-3.967791557784375	-0.012555011795987807	7.914230425502637e-05	-0.08224682533019421	-1.237678780181304	-0.004710269165678627	1.9746371057516907e-05	1.0855138209346522	-3.1023030302958186e-05	1.0893699993939319	1.0823848	0.00620709999999991	1.086248	1861.50374	37.566532	29.542667	10598535.214333914	0	0	0	0.0002514000000000127	-0.06958243094650873	-22.082199999989825	2.0297399	781.530700000003	1079.993300000031	2.3104550891279003	3.3832978154882154	0.0003385827775655291	-0.003073549451291405	13.454359215028358	0.5374841417764394	5.774963158279608	2.5664669751420317	2.3940846617669873	2.3940846617669873	2.3940846617669873	2.065809346416565	-1.4267144990736187	-0.5234939514299108	0.8532178179957639	-1.5666802870988017	28.743145889735924	0.505190108742987	781.5318242668324	1079.9933161261724	0	0	0	0.0	0.4190441199999999	0	-50.65009144148311	0.660118075803	1.085678995803	2720973.472518199	0.0020442099999998416	70	0.0	860
MATR_b1c17	-6.612156572417543	-0.012560353872363508	0.00010064261041892433	-0.2997156188803044	-1.2846575666180347	-0.002777541235700287	1.467876437847397e-05	1.0764073092793234	-1.4226666666634687e-05	1.078401466666663	1.0732841	0.005941699999999939	1.0769713	1861.5280800000012	37.208405	29.182228	9730117.818679685	0	0	0	0.002227300000000154	-3.635402280248111	-0.5959999999686261	2.0296822	791.5305000000517	1070.0067999999737	2.297635352235487	3.3943780210264904	0.0003252463320843006	-0.0031216809531332008	13.504060667817608	0.5000743202844257	6.229362185925106	2.6150697406475754	2.346203918967792	2.346203918967792	2.346203918967792	1.9757819233251874	-1.5145160262022963	-0.61439960121708	1.1864672439446036	-1.4752679711795693	5.73651611147368	0.4767461794751996	791.531613868763	1070.0068158547415	0	0	0	0.0	0.40961097000000013	0	-51.07779052757341	0.66015591184318	1.07638577843	2761271.438963835	0.013219370000000152	55	0.0	855
MATR_b1c18	-8.717942177584312	-0.020457459450870654	0.00022298248442655227	-0.06375885640643592	-1.388379451731199	-0.008015573346066951	-5.252477303649454e-05	1.0707228523137498	-6.21581818181403e-05	1.070574736363632	1.0667928	0.0033529999999999394	1.064324	0	36.084282	29.688587	294944982.4805511	0	0	0	-0.004050499999999957	-3.5646407976165793	-219917.69700000001	2.0352702	748.2856000000029	1100.0078000000212	2.3286630747073054	3.3934996608910897	0.0003372407793420913	-0.0031813276287303736	13.853567710862455	0.4887711716111695	6.250635766293656	2.566359395194861	2.4702594568796754	2.4702594568796754	2.4702594568796754	1.8917877442448563	-1.375823704173708	-0.8756045487330449	0.6906128385546264	-1.047447326898997	11.181577133182937	0.5508790681548296	743.2855796221917	1100.0078155039148	0	0	0	0.0	0.28714906000000007	0	-70.4058807048108	0.0	1.06372815693	1660346556.4004173	0.0006303899999999044	18	0.0	688
MATR_b1c19	-3.8789654809575334	-0.01959407888439174	0.000232075803787067	-0.2890597420994057	-1.3148165158702336	-0.006525957925547221	-1.3177510204084372e-05	1.0890599004951553	-1.6869696969664407e-05	1.0887056260606027	1.0863022	0.0030031999999999837	1.0870329	1848.87186	37.49086	29.91865	9977637.097107181	0	0	0	-0.0005036999999998848	-0.4046807621208943	-0.6894999999931315	2.0311031	753.1596000000136	1095.0076999999583	2.375726317033991	3.3809197411864402	0.00034462548881081066	-0.00315086171427419	13.873045459958295	0.5558261548841271	5.522035415384523	2.513465557183026	2.4945059187984433	2.4945059187984433	2.4945059187984433	2.0944059698888196	-1.3336197769273812	-0.5152714852167983	0.5685969493420449	-1.5717930950740562	13.430299685412756	0.36967153133968367	748.15897393423	1095.007716067297	0	0	0	0.0	0.3104516300000001	0	-72.84332204679767	0.7703179200079	1.08654548545	2351988.4587982185	0	56	0.0	786
MATR_b1c21	-6.75518674464626	-0.030944697953169262	0.00045467678552940205	-0.09599544059877287	-1.1488812926670497	-0.016739854339756555	-8.50561162646874e-05	1.0865054993032361	-0.0001572454545454148	1.0923197709090866	1.0836138	0.0023124000000001033	1.0766116	1794.6810600000003	37.615559	29.948643	10643479.06472808	0	0	0	-0.009186100000000197	-3.182194567234206	1.0590999999840278	2.0280275	715.6399000000092	1080.0131999999867	2.461831575765758	3.3888965231028667	0.00034970700688163615	-0.0034052005141633323	14.59810999436373	0.5058419104317096	6.331363811277127	2.6968272555029023	2.506300551379234	2.506300551379234	2.506300551379234	2.0508722140394653	-1.3883866318960236	-0.618014027021292	0.8428700509824787	-1.4501452272462634	9.876780433323509	0.5595303098617112	710.6475451931009	1080.0132164847919	0	0	0	0.0	0.22974549999999994	0	-83.94836904898627	0.8385658026028	1.0754868475	2197254.8199425	0.0030060799999997428	11	0.0	557
MATR_b1c23	-6.540520093008793	-0.013469104851908501	9.339722318196817e-05	-0.12334341519859611	-1.244859507344768	-0.005302473577102118	-9.392765615341352e-06	1.0829640371069882	-2.2126666666617772e-05	1.0838814866666613	1.0805521	0.0032342999999999122	1.0816643	1942.0718199999988	36.165897	29.545927	9948374.463487498	0	0	0	-0.0011438000000001391	-1.646619944407707	-12.640000000010332	2.0279298	781.5248000000138	1154.9960000000392	2.356416490008554	3.3934037544000004	0.00029875483013350375	-0.002995764401843387	13.71686770115578	0.5952465755541811	5.084870323510903	2.431505071652765	1.9754871483592744	1.9754871483592744	1.9754871483592744	2.1678605342798054	-1.6509817511414306	-0.42129064963979823	1.6405138337716965	-1.6646970880764735	57.196705647403995	3.850778585390913e+17	776.5302151695936	1154.9960168201335	0	0	0	0.0	0.74493913	0	-2252852.2558903177	0.330096757998	1.081391687998	5777017.543625948	0	52	0.0	1012
